id,ticker,date,open,high,low,close,volume
109,BTC-USD,2024-04-18,61275.31640625,64125.6875,60833.48046875,63512.75390625,36006307335
110,BTC-USD,2024-04-19,63510.75,65481.59765625,59651.390625,63843.5703125,49920425401
111,BTC-USD,2024-04-20,63851.1015625,65442.45703125,63172.40234375,64994.44140625,23097485495
112,BTC-USD,2024-04-21,64992.81640625,65723.2421875,64277.72265625,64926.64453125,20506644853
113,BTC-USD,2024-04-22,64935.6328125,67233.9609375,64548.1796875,66837.6796875,28282686673
114,BTC-USD,2024-04-23,66839.890625,67199.2421875,65864.8671875,66407.2734375,24310975583
115,BTC-USD,2024-04-24,66408.71875,67075.3671875,63589.87109375,64276.8984375,30276655120
116,BTC-USD,2024-04-25,64275.01953125,65275.20703125,62783.6328125,64481.70703125,32155786816
117,BTC-USD,2024-04-26,64485.37109375,64789.65625,63322.3984375,63755.3203125,24139372950
118,BTC-USD,2024-04-27,63750.98828125,63898.36328125,62424.71875,63419.140625,19530783039
119,BTC-USD,2024-04-28,63423.515625,64321.484375,62793.59765625,63113.23046875,17334827993
120,BTC-USD,2024-04-29,63106.36328125,64174.87890625,61795.45703125,63841.12109375,26635912073
121,BTC-USD,2024-04-30,63839.41796875,64703.33203125,59120.06640625,60636.85546875,37840840057
122,BTC-USD,2024-05-01,60609.49609375,60780.5,56555.29296875,58254.01171875,48439780271
123,BTC-USD,2024-05-02,58253.703125,59602.296875,56937.203125,59123.43359375,32711813559
124,BTC-USD,2024-05-03,59122.30078125,63320.50390625,58848.3125,62889.8359375,33172023048
125,BTC-USD,2024-05-04,62891.03125,64494.95703125,62599.3515625,63891.47265625,20620477992
126,BTC-USD,2024-05-05,63892.453125,64610.890625,62955.3046875,64031.1328125,18296164805
127,BTC-USD,2024-05-06,64038.3125,65494.90234375,62746.23828125,63161.94921875,28697928697
128,BTC-USD,2024-05-07,63162.76171875,64390.45703125,62285.98046875,62334.81640625,25930730982
129,BTC-USD,2024-05-08,62332.640625,62986.0859375,60877.12890625,61187.94140625,26088172222
130,BTC-USD,2024-05-09,61191.19921875,63404.9140625,60648.07421875,63049.9609375,25453338161
131,BTC-USD,2024-05-10,63055.19140625,63446.7421875,60208.78125,60792.77734375,27804954694
132,BTC-USD,2024-05-11,60793.35546875,61451.15234375,60492.625,60793.7109375,13842272968
133,BTC-USD,2024-05-12,60793.50390625,61818.15625,60632.6015625,61448.39453125,13800459405
134,BTC-USD,2024-05-13,61451.21875,63422.66015625,60769.83984375,62901.44921875,27889181179
135,BTC-USD,2024-05-14,62900.7734375,63092.125,61123.765625,61552.7890625,28186271527
136,BTC-USD,2024-05-15,61553.98828125,66454.453125,61330.41015625,66267.4921875,39815167074
137,BTC-USD,2024-05-16,66256.109375,66712.4296875,64613.0546875,65231.58203125,31573077994
138,BTC-USD,2024-05-17,65231.296875,67459.4609375,65119.31640625,67051.875,28031279310
139,BTC-USD,2024-05-18,67066.2109375,67387.328125,66663.5,66940.8046875,16712277406
140,BTC-USD,2024-05-19,66937.9296875,67694.296875,65937.1796875,66278.3671875,19249094538
141,BTC-USD,2024-05-20,66278.7421875,71483.5625,66086.171875,71448.1953125,43850655717
142,BTC-USD,2024-05-21,71443.0625,71946.4609375,69191.125,70136.53125,46932005990
143,BTC-USD,2024-05-22,70135.3203125,70623.6953125,68977.6953125,69122.3359375,32802561717
144,BTC-USD,2024-05-23,69121.3046875,70041.2734375,66356.953125,67929.5625,41895680979
145,BTC-USD,2024-05-24,67928.1328125,69220.296875,66622.671875,68526.1015625,29197308153
146,BTC-USD,2024-05-25,68526.921875,69579.3203125,68515.8203125,69265.9453125,15473071741
147,BTC-USD,2024-05-26,69264.2890625,69506.2265625,68183.890625,68518.09375,15628433737
148,BTC-USD,2024-05-27,68512.1796875,70597.8828125,68232.5,69394.5546875,25870990717
149,BTC-USD,2024-05-28,69392.1953125,69514.640625,67227.15625,68296.21875,32722265965
150,BTC-USD,2024-05-29,68296.3515625,68852.4609375,67101.4921875,67578.09375,26707072906
151,BTC-USD,2024-05-30,67576.0859375,69500.5390625,67118.078125,68364.9921875,29509712534
152,BTC-USD,2024-05-31,68362.515625,68999.5625,66633.421875,67491.4140625,27387283769
153,BTC-USD,2024-06-01,67489.609375,67839.765625,67386.1953125,67706.9375,11641495604
154,BTC-USD,2024-06-02,67710.2734375,68409.1640625,67315.5234375,67751.6015625,17110588415
155,BTC-USD,2024-06-03,67753.8984375,70230.8203125,67589.8359375,68804.78125,32401285324
156,BTC-USD,2024-06-04,68804.5703125,71047.40625,68564.640625,70567.765625,33149696545
157,BTC-USD,2024-06-05,70568.3515625,71735.4140625,70390.7109375,71082.8203125,32810771409
158,BTC-USD,2024-06-06,71082.84375,71625.734375,70119.125,70757.1640625,25223152007
159,BTC-USD,2024-06-07,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096
160,BTC-USD,2024-06-08,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861
161,BTC-USD,2024-06-09,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500
162,BTC-USD,2024-06-10,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541
163,BTC-USD,2024-06-11,69508.078125,69549.4140625,66123.6015625,67332.03125,37116136345
164,BTC-USD,2024-06-12,67321.375,69977.890625,66902.453125,68241.1875,34497940694
165,BTC-USD,2024-06-13,68243.1015625,68365.78125,66304.5625,66756.3984375,28955204146
166,BTC-USD,2024-06-14,66747.5703125,67294.6484375,65056.89453125,66011.09375,27403884779
167,BTC-USD,2024-06-15,66006.7421875,66402.1875,65871.7734375,66191.0,14121265576
168,BTC-USD,2024-06-16,66189.359375,66894.84375,66018.25,66639.046875,13281140541
169,BTC-USD,2024-06-17,66636.515625,67188.3203125,65094.96484375,66490.296875,30006354476
170,BTC-USD,2024-06-18,66490.9765625,66556.703125,64066.95703125,65140.74609375,39481285950
171,BTC-USD,2024-06-19,65146.66015625,65695.3515625,64693.30078125,64960.296875,21103423504
172,BTC-USD,2024-06-20,64960.296875,66438.9609375,64547.84765625,64828.65625,25641109124
173,BTC-USD,2024-06-21,64837.98828125,65007.546875,63378.89453125,64096.19921875,26188171739
174,BTC-USD,2024-06-22,64113.86328125,64475.46875,63929.7578125,64252.578125,9858198793
175,BTC-USD,2024-06-23,64248.96484375,64491.703125,63180.796875,63180.796875,11170471802
176,BTC-USD,2024-06-24,63173.3515625,63292.52734375,58601.69921875,60277.4140625,43152133651
